LOC,ZC,CITY,BOUROUGHS_STATE,LAT,LONG,num_calls,BOUROUGHS,STATE
Club/Bar/Restaurant,10308.0,STATEN ISLAND,"STATEN ISLAND, NY",-74.14115469,-74.14115469,0,,
Club/Bar/Restaurant,10012.0,NEW YORK,"MANHATTAN, NY",-73.99884181,-73.99884181,18,,
Club/Bar/Restaurant,10308.0,STATEN ISLAND,"STATEN ISLAND, NY",-74.14103979,-74.14103979,21,,
Club/Bar/Restaurant,10034.0,New York,"MANHATTAN, NY",-73.92825812,-73.92825812,160,,
Club/Bar/Restaurant,11220.0,,"BROOKLYN, NY",-74.02028461,-74.02028461,17,,
Club/Bar/Restaurant,10029.0,NEW YORK,"MANHATTAN, NY",-73.94539159,-73.94539159,211,,
Club/Bar/Restaurant,10002.0,NEW YORK,"MANHATTAN, NY",-73.98901165,-73.98901165,41,,
Club/Bar/Restaurant,10034.0,NY,"MANHATTAN, NY",-73.91634837,-73.91634837,271,,
Club/Bar/Restaurant,11373.0,ELMHURST,"QUEENS, NY",-73.88445696,-73.88445696,15,,
Club/Bar/Restaurant,10013.0,NEW YORK,"MANHATTAN, NY",-74.00459619,-74.00459619,43,,
Club/Bar/Restaurant,10003.0,NEW YORK,"MANHATTAN, NY",-73.99199058,-73.99199058,42,,
Club/Bar/Restaurant,11419.0,SOUTH RICHMOND HILL,"QUEENS, NY",-73.81613264,-73.81613264,46,,
Club/Bar/Restaurant,10128.0,NEW YORK,"MANHATTAN, NY",-73.95066995,-73.95066995,16,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.98825325,-73.98825325,1175,,
Club/Bar/Restaurant,10464.0,BRONX,"BRONX, NY",-73.78290106,-73.78290106,11,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.98827856,-73.98827856,24,,
Club/Bar/Restaurant,10040.0,NEW YORK,"MANHATTAN, NY",-73.92653575,-73.92653575,458,,
Club/Bar/Restaurant,11235.0,,"BROOKLYN, NY",-73.93277355,-73.93277355,58,,
Club/Bar/Restaurant,11223.0,,"BROOKLYN, NY",-73.97389624,-73.97389624,38,,
Club/Bar/Restaurant,11218.0,,"BROOKLYN, NY",-73.96977506,-73.96977506,128,,
Club/Bar/Restaurant,11203.0,,"BROOKLYN, NY",-73.93075319,-73.93075319,28,,
Club/Bar/Restaurant,11234.0,,"BROOKLYN, NY",-73.92664159,-73.92664159,45,,
Club/Bar/Restaurant,10011.0,NEW YORK,"MANHATTAN, NY",-74.00051966,-74.00051966,23,,
Club/Bar/Restaurant,11372.0,JACKSON HEIGHTS,"QUEENS, NY",-73.88655054,-73.88655054,42,,
Club/Bar/Restaurant,10307.0,STATEN ISLAND,"STATEN ISLAND, NY",-74.24842226,-74.24842226,72,,
Club/Bar/Restaurant,10305.0,STATEN ISLAND,"STATEN ISLAND, NY",-74.06662421,-74.06662421,42,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.95746753,-73.95746753,42,,
Club/Bar/Restaurant,10033.0,NEW YORK,"MANHATTAN, NY",-73.93818244,-73.93818244,127,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.9804155,-73.9804155,NaN,,
Club/Bar/Restaurant,11225.0,,"BROOKLYN, NY",-73.96163481,-73.96163481,16,,
Club/Bar/Restaurant,10036.0,NEW YORK,"MANHATTAN, NY",-73.98718902,-73.98718902,19,,
Club/Bar/Restaurant,11207.0,,"BROOKLYN, NY",-73.89645248,-73.89645248,24,,
Club/Bar/Restaurant,11422.0,ROSEDALE,"QUEENS, NY",-73.73491026,-73.73491026,39,,
Club/Bar/Restaurant,10464.0,BRONX,"BRONX, NY",-73.78846705,-73.78846705,57,,
Club/Bar/Restaurant,11237.0,,"BROOKLYN, NY",-73.93097214,-73.93097214,43,,
Club/Bar/Restaurant,10036.0,NEW YORK,"MANHATTAN, NY",-73.9942713,-73.9942713,43,,
Club/Bar/Restaurant,11103.0,ASTORIA,"QUEENS, NY",-73.91464744,-73.91464744,31,,
Club/Bar/Restaurant,10453.0,BRONX,"BRONX, NY",-73.90468411,-73.90468411,23,,
Club/Bar/Restaurant,10469.0,BRONX,"BRONX, NY",-73.85086586,-73.85086586,21,,
Club/Bar/Restaurant,11230.0,,"BROOKLYN, NY",-73.96302421,-73.96302421,63,,
Club/Bar/Restaurant,11362.0,LITTLE NECK,"QUEENS, NY",-73.7352894,-73.7352894,85,,
Club/Bar/Restaurant,11231.0,,"BROOKLYN, NY",-73.99811085,-73.99811085,30,,
Club/Bar/Restaurant,11434.0,JAMAICA,"QUEENS, NY",-73.7660803,-73.7660803,NaN,,
Club/Bar/Restaurant,11238.0,,"BROOKLYN, NY",-73.96329223,-73.96329223,231,,
Club/Bar/Restaurant,11418.0,RICHMOND HILL,"QUEENS, NY",-73.83235864,-73.83235864,79,,
Club/Bar/Restaurant,11214.0,,"BROOKLYN, NY",-73.98996033,-73.98996033,62,,
Club/Bar/Restaurant,10016.0,NEW YORK,"MANHATTAN, NY",-73.9824024,-73.9824024,40,,
Club/Bar/Restaurant,11218.0,,"BROOKLYN, NY",-73.97774084,-73.97774084,37,,
